id,sex,perspective
0,female,a
1,female,a
2,female,a
3,female,a
4,female,a
5,female,a
6,female,a
7,female,a
8,female,a
9,female,a
10,female,a
11,female,a
12,female,a
13,female,a
14,female,a
15,female,a
16,female,a
17,female,a
18,female,a
19,female,a
20,female,a
21,female,a
22,female,a
23,female,a
24,female,a
25,female,a
26,female,a
27,female,a
28,female,a
29,female,a
30,female,a
31,female,a
32,female,a
33,female,a
34,female,a
35,female,a
36,female,a
37,female,a
38,female,a
39,female,a
40,female,a
41,female,a
42,female,a
43,female,a
44,female,a
45,female,a
46,female,a
47,female,a
48,female,a
49,female,a
50,female,b
51,female,b
52,female,b
53,female,b
54,female,b
55,female,b
56,female,b
57,female,b
58,female,b
59,female,b
60,female,b
61,female,b
62,female,b
63,female,b
64,female,b
65,female,b
66,female,b
67,female,b
68,female,b
69,female,b
70,female,b
71,female,b
72,female,b
73,female,b
74,female,b
75,female,b
76,female,b
77,female,b
78,female,b
79,female,b
80,female,b
81,female,b
82,female,b
83,female,b
84,female,b
85,female,b
86,female,b
87,female,b
88,female,b
89,female,b
90,female,b
91,female,b
92,female,b
93,female,b
94,female,b
95,female,b
96,female,b
97,female,b
98,female,b
99,male,a
100,male,a
101,male,a
102,male,a
103,male,a
104,male,a
105,male,a
106,male,a
107,male,a
108,male,a
109,male,a
110,male,a
111,male,a
112,male,a
113,male,a
114,male,a
115,male,a
116,male,a
117,male,a
118,male,a
119,male,a
120,male,a
121,male,a
122,male,a
123,male,a
124,male,a
125,male,a
126,male,a
127,male,a
128,male,a
129,male,a
130,male,a
131,male,a
132,male,a
133,male,a
134,male,a
135,male,a
136,male,a
137,male,a
138,male,a
139,male,a
140,male,a
141,male,a
142,male,a
143,male,a
144,male,a
145,male,a
146,male,a
147,male,a
148,male,a
149,male,b
150,male,b
151,male,b
152,male,b
153,male,b
154,male,b
155,male,b
156,male,b
157,male,b
158,male,b
159,male,b
160,male,b
161,male,b
162,male,b
163,male,b
164,male,b
165,male,b
166,male,b
167,male,b
168,male,b
169,male,b
170,male,b
171,male,b
172,male,b
173,male,b
174,male,b
175,male,b
176,male,b
177,male,b
178,male,b
179,male,b
180,male,b
181,male,b
182,male,b
183,male,b
184,male,b
185,male,b
186,male,b
187,male,b
188,male,b
189,male,b
190,male,b
191,male,b
192,male,b
193,male,b
194,male,b
195,male,b
196,male,b
197,male,b
198,male,b
199,female,a
200,female,a
201,female,a
202,female,a
203,female,a
204,female,a
205,female,a
206,female,a
207,female,a
208,female,a
209,female,a
210,female,a
211,female,a
212,female,a
213,female,a
214,female,a
215,female,a
216,female,a
217,female,a
218,female,a
219,female,a
220,female,a
221,female,a
222,female,a
223,female,a
224,female,b
225,female,b
226,female,b
227,female,b
228,female,b
229,female,b
230,female,b
231,female,b
232,female,b
233,female,b
234,female,b
235,female,b
236,female,b
237,female,b
238,female,b
239,female,b
240,female,b
241,female,b
242,female,b
243,female,b
244,female,b
245,female,b
246,female,b
247,female,b
248,female,b
249,male,a
250,male,a
251,male,a
252,male,a
253,male,a
254,male,a
255,male,a
256,male,a
257,male,a
258,male,a
259,male,a
260,male,a
261,male,a
262,male,a
263,male,a
264,male,a
265,male,a
266,male,a
267,male,a
268,male,a
269,male,a
270,male,a
271,male,a
272,male,a
273,male,a
274,male,b
275,male,b
276,male,b
277,male,b
278,male,b
279,male,b
280,male,b
281,male,b
282,male,b
283,male,b
284,male,b
285,male,b
286,male,b
287,male,b
288,male,b
289,male,b
290,male,b
291,male,b
292,male,b
293,male,b
294,male,b
295,male,b
296,male,b
297,male,b
298,male,b
